result_commit,strategy,completed_cases,solved,sat,unsat,timeouts,unknown,missing,par2_total,par2_mean,mab_triggered_cases
1e7cf6932e6c,fallback32,12,1,0,1,10,1,10,22708.22539104242,1892.3521159202016,0
1e7cf6932e6c,ucb_fallback32,12,1,0,1,10,1,10,22699.418390379287,1891.618199198274,0
29de180e1f45,baseline,310,23,0,23,217,70,217,575407.9531265171,1856.154687504894,0
29de180e1f45,no_pseudo_ucb_fallback32,310,26,0,26,235,49,235,569129.844925886,1835.9027255673743,23
3db26dc72d35,no_pseudo_fallback32,12,1,0,1,9,2,9,22049.28216658905,1837.4401805490877,0
3db26dc72d35,no_pseudo_ucb_fallback32,2,1,0,1,0,1,0,2049.18224430643,1024.591122153215,0
479f0a2b5656,no_pseudo,12,0,0,0,7,5,7,24000.0,2000.0,0
554c28502443,baseline,12,0,0,0,8,4,8,24000.0,2000.0,0
554c28502443,consec_core,12,0,0,0,8,4,8,24000.0,2000.0,0
554c28502443,full_add,12,0,0,0,8,4,8,24000.0,2000.0,0
554c28502443,ucb,12,0,0,0,8,4,8,24000.0,2000.0,0
80f549363357,no_pseudo_ucb_fallback32,12,1,0,1,9,2,9,22048.317665928043,1837.3598054940037,5
820e28ae334f,bzla_itp,12,0,0,0,12,0,12,24000.0,2000.0,0
820e28ae334f,bzla_itp_fallback32,12,0,0,0,12,0,12,24000.0,2000.0,0
820e28ae334f,bzla_itp_ucb_fallback32,12,0,0,0,12,0,12,24000.0,2000.0,0
9d008ec8cf1f,ucb_fallback32_warmup10,2,0,0,0,0,2,0,4000.0,2000.0,0
9d008ec8cf1f,warmup10,4,0,0,0,0,4,0,8000.0,2000.0,0
c455b912c284,baseline,12,0,0,0,9,0,12,24000.0,2000.0,0
c455b912c284,consec_core,12,0,0,0,9,0,12,24000.0,2000.0,0
c455b912c284,full_add,12,0,0,0,9,0,12,24000.0,2000.0,0
e119ec3299e4,no_pseudo_ucb_fallback32,2,1,0,1,0,1,0,2047.6897385353222,1023.8448692676611,2
